Source Plate Barcode	Source Well	Destination Plate Barcode	Destination Well	Transfer Volume
Plate1	Mg-glutamate well	destPlate1	A1	80
Plate1	Mg-glutamate well	destPlate1	B1	100
Plate1	Mg-glutamate well	destPlate1	C1	20
Plate1	Mg-glutamate well	destPlate1	D1	0
Plate1	Mg-glutamate well	destPlate1	E1	80
Plate1	Mg-glutamate well	destPlate1	F1	20
Plate1	Mg-glutamate well	destPlate1	G1	60
Plate1	Mg-glutamate well	destPlate1	H1	100
Plate1	Mg-glutamate well	destPlate1	I1	80
Plate1	Mg-glutamate well	destPlate1	J1	80
Plate1	Mg-glutamate well	destPlate1	K1	100
Plate1	Mg-glutamate well	destPlate1	L1	80
Plate1	Mg-glutamate well	destPlate1	M1	0
Plate1	Mg-glutamate well	destPlate1	N1	0
Plate1	Mg-glutamate well	destPlate1	O1	80
Plate1	Mg-glutamate well	destPlate1	P1	0
Plate1	Mg-glutamate well	destPlate1	A2	100
Plate1	Mg-glutamate well	destPlate1	B2	20
Plate1	Mg-glutamate well	destPlate1	C2	0
Plate1	Mg-glutamate well	destPlate1	D2	20
Plate1	Mg-glutamate well	destPlate1	E2	80
Plate1	Mg-glutamate well	destPlate1	F2	20
Plate1	Mg-glutamate well	destPlate1	G2	100
Plate1	Mg-glutamate well	destPlate1	H2	60
Plate1	Mg-glutamate well	destPlate1	I2	60
Plate1	Mg-glutamate well	destPlate1	J2	60
Plate1	Mg-glutamate well	destPlate1	K2	100
Plate1	Mg-glutamate well	destPlate1	L2	20
Plate1	Mg-glutamate well	destPlate1	M2	100
Plate1	Mg-glutamate well	destPlate1	N2	20
Plate1	Mg-glutamate well	destPlate1	O2	60
Plate1	Mg-glutamate well	destPlate1	P2	0
Plate1	Mg-glutamate well	destPlate1	A3	60
Plate1	Mg-glutamate well	destPlate1	B3	80
Plate1	Mg-glutamate well	destPlate1	C3	100
Plate1	Mg-glutamate well	destPlate1	D3	20
Plate1	Mg-glutamate well	destPlate1	E3	0
Plate1	Mg-glutamate well	destPlate1	F3	80
Plate1	Mg-glutamate well	destPlate1	G3	20
Plate1	Mg-glutamate well	destPlate1	H3	60
Plate1	Mg-glutamate well	destPlate1	I3	100
Plate1	Mg-glutamate well	destPlate1	J3	80
Plate1	Mg-glutamate well	destPlate1	K3	80
Plate1	Mg-glutamate well	destPlate1	L3	100
Plate1	Mg-glutamate well	destPlate1	M3	80
Plate1	Mg-glutamate well	destPlate1	N3	0
Plate1	Mg-glutamate well	destPlate1	O3	0
Plate1	Mg-glutamate well	destPlate1	P3	80
Plate1	Mg-glutamate well	destPlate1	A4	0
Plate1	Mg-glutamate well	destPlate1	B4	100
Plate1	Mg-glutamate well	destPlate1	C4	20
Plate1	Mg-glutamate well	destPlate1	D4	0
Plate1	Mg-glutamate well	destPlate1	E4	20
Plate1	Mg-glutamate well	destPlate1	F4	80
Plate1	Mg-glutamate well	destPlate1	G4	20
Plate1	Mg-glutamate well	destPlate1	H4	100
Plate1	Mg-glutamate well	destPlate1	I4	60
Plate1	Mg-glutamate well	destPlate1	J4	60
Plate1	Mg-glutamate well	destPlate1	K4	60
Plate1	Mg-glutamate well	destPlate1	L4	100
Plate1	Mg-glutamate well	destPlate1	M4	20
Plate1	Mg-glutamate well	destPlate1	N4	100
Plate1	Mg-glutamate well	destPlate1	O4	20
Plate1	Mg-glutamate well	destPlate1	P4	60
Plate1	Mg-glutamate well	destPlate1	A5	0
Plate1	Mg-glutamate well	destPlate1	B5	60
Plate1	Mg-glutamate well	destPlate1	C5	80
Plate1	Mg-glutamate well	destPlate1	D5	100
Plate1	Mg-glutamate well	destPlate1	E5	20
Plate1	Mg-glutamate well	destPlate1	F5	0
Plate1	Mg-glutamate well	destPlate1	G5	80
Plate1	Mg-glutamate well	destPlate1	H5	20
Plate1	Mg-glutamate well	destPlate1	I5	60
Plate1	Mg-glutamate well	destPlate1	J5	100
Plate1	Mg-glutamate well	destPlate1	K5	80
Plate1	Mg-glutamate well	destPlate1	L5	80
Plate1	Mg-glutamate well	destPlate1	M5	100
Plate1	Mg-glutamate well	destPlate1	N5	80
Plate1	Mg-glutamate well	destPlate1	O5	0
Plate1	Mg-glutamate well	destPlate1	P5	0
Plate1	Mg-glutamate well	destPlate1	A6	80
Plate1	Mg-glutamate well	destPlate1	B6	0
Plate1	Mg-glutamate well	destPlate1	C6	100
Plate1	Mg-glutamate well	destPlate1	D6	20
Plate1	Mg-glutamate well	destPlate1	E6	0
Plate1	Mg-glutamate well	destPlate1	F6	20
Plate1	Mg-glutamate well	destPlate1	G6	80
Plate1	Mg-glutamate well	destPlate1	H6	20
Plate1	Mg-glutamate well	destPlate1	I6	100
Plate1	Mg-glutamate well	destPlate1	J6	60
Plate1	Mg-glutamate well	destPlate1	K6	60
Plate1	Mg-glutamate well	destPlate1	L6	60
Plate1	Mg-glutamate well	destPlate1	M6	100
Plate1	Mg-glutamate well	destPlate1	N6	20
Plate1	Mg-glutamate well	destPlate1	O6	100
Plate1	Mg-glutamate well	destPlate1	P6	20
Plate1	Mg-glutamate well	destPlate1	A7	60
Plate1	Mg-glutamate well	destPlate1	B7	0
Plate1	Mg-glutamate well	destPlate1	C7	60
Plate1	Mg-glutamate well	destPlate1	D7	80
Plate1	Mg-glutamate well	destPlate1	E7	100
Plate1	Mg-glutamate well	destPlate1	F7	20
Plate1	Mg-glutamate well	destPlate1	G7	0
Plate1	Mg-glutamate well	destPlate1	H7	80
Plate1	Mg-glutamate well	destPlate1	I7	20
Plate1	Mg-glutamate well	destPlate1	J7	60
Plate1	Mg-glutamate well	destPlate1	K7	100
Plate1	Mg-glutamate well	destPlate1	L7	80
Plate1	Mg-glutamate well	destPlate1	M7	80
Plate1	Mg-glutamate well	destPlate1	N7	100
Plate1	Mg-glutamate well	destPlate1	O7	80
Plate1	Mg-glutamate well	destPlate1	P7	0
Plate1	Mg-glutamate well	destPlate1	A8	0
Plate1	Mg-glutamate well	destPlate1	B8	80
Plate1	Mg-glutamate well	destPlate1	C8	0
Plate1	Mg-glutamate well	destPlate1	D8	100
Plate1	Mg-glutamate well	destPlate1	E8	20
Plate1	Mg-glutamate well	destPlate1	F8	0
Plate1	Mg-glutamate well	destPlate1	G8	20
Plate1	Mg-glutamate well	destPlate1	H8	80
Plate1	Mg-glutamate well	destPlate1	I8	20
Plate1	Mg-glutamate well	destPlate1	J8	100
Plate1	Mg-glutamate well	destPlate1	K8	60
Plate1	Mg-glutamate well	destPlate1	L8	60
Plate1	Mg-glutamate well	destPlate1	M8	60
Plate1	Mg-glutamate well	destPlate1	N8	100
Plate1	Mg-glutamate well	destPlate1	O8	20
Plate1	Mg-glutamate well	destPlate1	P8	100
Plate1	Mg-glutamate well	destPlate1	A9	20
Plate1	Mg-glutamate well	destPlate1	B9	60
Plate1	Mg-glutamate well	destPlate1	C9	0
Plate1	Mg-glutamate well	destPlate1	D9	60
Plate1	Mg-glutamate well	destPlate1	E9	80
Plate1	Mg-glutamate well	destPlate1	F9	100
Plate1	Mg-glutamate well	destPlate1	G9	20
Plate1	Mg-glutamate well	destPlate1	H9	0
Plate1	Mg-glutamate well	destPlate1	I9	80
Plate1	Mg-glutamate well	destPlate1	J9	20
Plate1	Mg-glutamate well	destPlate1	K9	60
Plate1	Mg-glutamate well	destPlate1	L9	100
Plate1	Mg-glutamate well	destPlate1	M9	80
Plate1	Mg-glutamate well	destPlate1	N9	80
Plate1	Mg-glutamate well	destPlate1	O9	100
Plate1	Mg-glutamate well	destPlate1	P9	80
Plate1	Mg-glutamate well	destPlate1	A10	0
Plate1	Mg-glutamate well	destPlate1	B10	0
Plate1	Mg-glutamate well	destPlate1	C10	80
Plate1	Mg-glutamate well	destPlate1	D10	0
Plate1	Mg-glutamate well	destPlate1	E10	100
Plate1	Mg-glutamate well	destPlate1	F10	20
Plate1	Mg-glutamate well	destPlate1	G10	0
Plate1	Mg-glutamate well	destPlate1	H10	20
Plate1	Mg-glutamate well	destPlate1	I10	80
Plate1	Mg-glutamate well	destPlate1	J10	20
Plate1	Mg-glutamate well	destPlate1	K10	100
Plate1	Mg-glutamate well	destPlate1	L10	60
Plate1	Mg-glutamate well	destPlate1	M10	60
Plate1	Mg-glutamate well	destPlate1	N10	60
Plate1	Mg-glutamate well	destPlate1	O10	100
Plate1	Mg-glutamate well	destPlate1	P10	20
Plate1	Mg-glutamate well	destPlate1	A11	100
Plate1	Mg-glutamate well	destPlate1	B11	20
Plate1	Mg-glutamate well	destPlate1	C11	60
Plate1	Mg-glutamate well	destPlate1	D11	0
Plate1	Mg-glutamate well	destPlate1	E11	60
Plate1	Mg-glutamate well	destPlate1	F11	80
Plate1	Mg-glutamate well	destPlate1	G11	100
Plate1	Mg-glutamate well	destPlate1	H11	20
Plate1	Mg-glutamate well	destPlate1	I11	0
Plate1	Mg-glutamate well	destPlate1	J11	80
Plate1	Mg-glutamate well	destPlate1	K11	20
Plate1	Mg-glutamate well	destPlate1	L11	60
Plate1	Mg-glutamate well	destPlate1	M11	100
Plate1	Mg-glutamate well	destPlate1	N11	80
Plate1	Mg-glutamate well	destPlate1	O11	80
Plate1	Mg-glutamate well	destPlate1	P11	100
Plate1	Mg-glutamate well	destPlate1	A12	80
Plate1	Mg-glutamate well	destPlate1	B12	0
Plate1	Mg-glutamate well	destPlate1	C12	0
Plate1	Mg-glutamate well	destPlate1	D12	80
Plate1	Mg-glutamate well	destPlate1	E12	0
Plate1	Mg-glutamate well	destPlate1	F12	100
Plate1	Mg-glutamate well	destPlate1	G12	20
Plate1	Mg-glutamate well	destPlate1	H12	0
Plate1	Mg-glutamate well	destPlate1	I12	20
Plate1	Mg-glutamate well	destPlate1	J12	80
Plate1	Mg-glutamate well	destPlate1	K12	20
Plate1	Mg-glutamate well	destPlate1	L12	100
Plate1	Mg-glutamate well	destPlate1	M12	60
Plate1	Mg-glutamate well	destPlate1	N12	60
Plate1	Mg-glutamate well	destPlate1	O12	60
Plate1	Mg-glutamate well	destPlate1	P12	100
Plate1	Mg-glutamate well	destPlate1	A13	20
Plate1	Mg-glutamate well	destPlate1	B13	100
Plate1	Mg-glutamate well	destPlate1	C13	20
Plate1	Mg-glutamate well	destPlate1	D13	60
Plate1	Mg-glutamate well	destPlate1	E13	0
Plate1	Mg-glutamate well	destPlate1	F13	60
Plate1	Mg-glutamate well	destPlate1	G13	80
Plate1	Mg-glutamate well	destPlate1	H13	100
Plate1	Mg-glutamate well	destPlate1	I13	20
Plate1	Mg-glutamate well	destPlate1	J13	0
Plate1	Mg-glutamate well	destPlate1	K13	80
Plate1	Mg-glutamate well	destPlate1	L13	20
Plate1	Mg-glutamate well	destPlate1	M13	60
Plate1	Mg-glutamate well	destPlate1	N13	100
Plate1	Mg-glutamate well	destPlate1	O13	80
Plate1	Mg-glutamate well	destPlate1	P13	80
Plate1	Mg-glutamate well	destPlate1	A14	100
Plate1	Mg-glutamate well	destPlate1	B14	80
Plate1	Mg-glutamate well	destPlate1	C14	0
Plate1	Mg-glutamate well	destPlate1	D14	0
Plate1	Mg-glutamate well	destPlate1	E14	80
Plate1	Mg-glutamate well	destPlate1	F14	0
Plate1	Mg-glutamate well	destPlate1	G14	100
Plate1	Mg-glutamate well	destPlate1	H14	20
Plate1	Mg-glutamate well	destPlate1	I14	0
Plate1	Mg-glutamate well	destPlate1	J14	20
Plate1	Mg-glutamate well	destPlate1	K14	80
Plate1	Mg-glutamate well	destPlate1	L14	20
Plate1	Mg-glutamate well	destPlate1	M14	100
Plate1	Mg-glutamate well	destPlate1	N14	60
Plate1	Mg-glutamate well	destPlate1	O14	60
Plate1	Mg-glutamate well	destPlate1	P14	60
Plate1	Mg-glutamate well	destPlate1	A15	100
Plate1	Mg-glutamate well	destPlate1	B15	20
Plate1	Mg-glutamate well	destPlate1	C15	100
Plate1	Mg-glutamate well	destPlate1	D15	20
Plate1	Mg-glutamate well	destPlate1	E15	60
Plate1	Mg-glutamate well	destPlate1	F15	0
Plate1	Mg-glutamate well	destPlate1	G15	60
Plate1	Mg-glutamate well	destPlate1	H15	80
Plate1	Mg-glutamate well	destPlate1	I15	100
Plate1	Mg-glutamate well	destPlate1	J15	20
Plate1	Mg-glutamate well	destPlate1	K15	0
Plate1	Mg-glutamate well	destPlate1	L15	80
